,unnamed: 0,unnamed: 0,mth_day,tom hanks,tom hanks_norm,tom hanks_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.5908095107245523,-0.6840717926591631,
2,2,2,01-03,1.4894411739532991,-0.9559038510484748,
3,3,3,01-04,1.0391464208451395,-2.1634263725584693,
4,4,4,01-05,1.31427635612608,-1.4256305379409535,-1.2566138127953106
5,5,5,01-06,1.3318601629500144,-1.378477328610349,-1.3011615421365688
6,6,6,01-07,1.4982905993228854,-0.9321729939544536,-1.326283508822013
7,7,7,01-08,1.4911362950556637,-0.9513581687067124,-1.1341098558475702
8,8,8,01-09,1.4332320867452142,-1.1066356511611422,-1.0299165040163725
9,9,9,01-10,1.4691249234993626,-1.0103844547118122,-0.9549179013050512
10,10,10,01-11,1.5474035341417942,-0.8004704269537676,-0.9358359387339106
11,11,11,01-12,1.4996656159652697,-0.9284857123424218,-0.9986302297732808
12,12,12,01-13,1.5409854930663796,-0.8176812185276101,-1.0491310152402926
13,13,13,01-14,1.3506373514261083,-1.3281239149429342,-0.8795244511045507
14,14,14,01-15,1.320239219190911,-1.4096403639632125,-1.0763710138092808
15,15,15,01-16,1.8486107445713715,0.007254930102638576,-0.7045151555317681
16,16,16,01-17,1.10696964024237,-1.9815498031821488,-0.5650768638082322
17,17,17,01-18,2.3316736600993413,1.302649437322656,-0.4626211194316275
18,18,18,01-19,1.8529713816622644,0.018948531813605955,-0.4601811583386804
19,19,19,01-20,1.5798767235955855,-0.7133894486833063,-0.34562234454399315
20,20,20,01-21,1.3256985045874343,-1.3950005974055295,-0.2552263627738249
21,21,21,01-22,2.1049301018759565,0.6946078128707621,-0.7554983424760541
22,22,22,01-23,1.3092259240039346,-1.4391739125611398,-0.8190449260721074
23,23,23,01-24,1.2123412572291346,-1.698982440890719,-0.9633474745429019
24,24,24,01-25,1.7107892227632178,-0.3623309697627147,-0.8961620767789359
25,25,25,01-26,1.2570073148066907,-1.5792047395080735,-1.2407262427307926
26,26,26,01-27,1.476022319968205,-0.991888210821735,-1.0520819216060304
27,27,27,01-28,1.3339857926475545,-1.3727771828403772,-0.8392550258812259
28,28,28,01-29,1.7313077311402896,-0.3073079858125677,-0.9068471893518382
29,29,29,01-30,1.6885303108892007,-0.4220210665418922,-0.6706527002066042
30,30,30,01-31,1.5595552903774998,-0.7678839505863879,-0.6475684759820179
31,31,31,02-01,1.7854801372042186,-0.16203780463666906,-0.38677391971716907
32,32,32,02-02,1.5276720649430893,-0.8533828654742182,-0.6135781545748655
33,33,33,02-03,1.917499979256919,0.19199015474871686,-0.6211702586313951
34,34,34,02-04,1.223845111835663,-1.668133394958747,-0.6886071923170564
35,35,35,02-05,1.6715433749398916,-0.4675736908810693,-0.8390941444822443
36,36,36,02-06,1.4086686765209735,-1.1725055527003565,-0.8266192545815098
37,37,37,02-07,1.4487734484387689,-1.064959517627797,-1.003840554200068
38,38,38,02-08,1.5555839789712178,-0.7785335260698113,-0.7851786540393436
39,39,39,02-09,1.5209765856023414,-0.8713376429626336,-0.6620429491748796
40,40,40,02-10,1.7130896828962932,-0.3561619939943986,-0.5599660989546728
41,41,41,02-11,1.9470530776561936,0.27124053830571443,-0.4601666230703234
42,42,42,02-12,1.6370602928221998,-0.5600444513791154,-0.35545036515303696
43,43,43,02-13,1.672069558713238,-0.4661626623217015,-0.3193609906626377
44,44,44,02-14,1.7898811320196448,-0.15023597856609208,-0.3581653755895189
45,45,45,02-15,1.6017246744528617,-0.6548013960202382,-0.509351585968227
46,46,46,02-16,1.626266900121292,-0.5889883035556857,-0.4345751576717318
47,47,47,02-17,1.60878183519171,-0.6358767239665344,-0.5368361490361055
48,48,48,02-18,1.8043686421984482,-0.1113858816001437,-0.6947096117986001
49,49,49,02-19,1.4432659362279152,-1.0797286105079442,-0.7373851493512971
50,50,50,02-20,1.4366475119225013,-1.0974767551410594,-0.7921562474457744
51,51,51,02-21,1.5062403900420689,-0.9108546213364188,-0.6199451596607473
52,52,52,02-22,1.5037194312935909,-0.9176148921225504,-0.6738680767907304
53,53,53,02-23,1.9940951417775428,0.3973898027436283,-0.4608352076028246
54,54,54,02-24,1.6837189339401502,-0.43492338438004174,-0.2453859792952542
55,55,55,02-25,1.9199158447444096,0.19846860461949067,0.11093960168450884
56,56,56,02-26,1.9187038976540924,0.1952186147043629,0.1447772274322324
57,57,57,02-27,2.3035002505675406,1.2270988645421594,-0.10885600059641604
58,58,58,02-28,1.5794293500425212,-0.7145891376362091,-0.021714037931578816
59,59,59,02-29,1.4266040527383037,-1.1244095654282624,-0.198262867666368
60,60,60,03-01,1.8786945200573584,0.08792839160898169,-0.29008219498692345
61,61,61,03-02,1.5248970673014082,-0.8608243737892444,-0.5070130522490096
62,62,62,03-03,1.7132629526289131,-0.3556973492189699,-0.4044072415107178
63,63,63,03-04,1.8181287975023608,-0.07448627903035765,-0.35674194278755383
64,64,64,03-05,1.8090044878515559,-0.098954273206458,-0.4839978797865038
65,65,65,03-06,1.533252666928293,-0.8384177730892791,-0.6466357078613438
66,66,66,03-07,1.5939660133252438,-0.6756072303847183,-0.6637749968813248
67,67,67,03-08,1.1610034288750484,-1.836651342238284,-0.7275797948998236
68,68,68,03-09,1.674914689402895,-0.4585330833388554,-0.7605575185134281
69,69,69,03-10,1.6753688973312502,-0.4573150671413504,-0.775291493782659
70,70,70,03-11,1.73521855517634,-0.2968206148880854,-0.8128187488976968
71,71,71,03-12,1.5002861674818218,-0.9268216247046656,-0.5489205992865124
72,72,72,03-13,1.5100007417422927,-0.9007707610749436,-0.6657232705503462
73,73,73,03-14,1.7514617433565225,-0.2532624445711777,-0.7619225861662734
74,74,74,03-15,1.4135748183087251,-1.1593491109218583,-0.5397895007235879
75,75,75,03-16,1.4601279574590276,-1.034510960836914,-0.7496740151417959
