,unnamed: 0,unnamed: 0,mth_day,ensemble cast,ensemble cast_norm,ensemble cast_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.488977761817766,-1.9191061272317784,
2,2,2,01-03,7.250513520917551,0.018168134269670358,
3,3,3,01-04,6.292887350244948,-1.0349950064730993,
4,4,4,01-05,5.246126454643874,-2.1861853416783776,-1.204484011921587
5,5,5,01-06,6.5807785879747485,-0.7183824812463866,-1.2149530036328908
6,6,6,01-07,5.973356864627258,-1.386403249169549,-1.6461647950913127
7,7,7,01-08,5.431861935852406,-1.9819200774996035,-1.6382721858731981
8,8,8,01-09,4.897945258917997,-2.5691026144808595,-1.5193923458016492
9,9,9,01-10,6.335947169847982,-0.9876393511644118,-1.6230478479501318
10,10,10,01-11,5.894700877430445,-1.4729063012490835,-1.2787861587988143
11,11,11,01-12,6.015263800655532,-1.3403154941372841,-0.8982568685953716
12,12,12,01-13,7.851550225204314,0.679166885738357,-0.6714717386970527
13,13,13,01-14,7.507920959809213,0.3012556637210522,-0.4404369142653051
14,14,14,01-15,6.135220095693129,-1.2083918350909468,-0.41895883533392775
15,15,15,01-16,7.596407125120742,0.3985695954260729,-0.12961448542008716
16,16,16,01-17,6.011879136057799,-1.3440378276608194,-0.17396127901969707
17,17,17,01-18,7.593843857786991,0.3957506053457594,-0.06839140043780964
18,18,18,01-19,7.609606796915789,0.4130861241406975,0.18519594450408594
19,19,19,01-20,8.083880037678822,0.9346749352123768,0.1632688328212217
20,20,20,01-21,7.518720155692207,0.31313223456042666,0.3122857881909294
21,21,21,01-22,7.47677907216802,0.2670069253288873,0.12896305805966266
22,22,22,01-23,6.824873044496366,-0.4499360954425733,1.0118405349257025
23,23,23,01-24,6.593687449375068,-0.7041857754418409,0.6451939375011498
24,24,24,01-25,12.426333919067226,5.710350985336935,0.2874851750997783
25,25,25,01-26,6.0835610168240795,-1.2652046493349378,0.06291607533305629
26,26,26,01-27,5.567163407630163,-1.8331203398478024,0.2394283599785797
27,27,27,01-28,6.251594262285699,-1.0804076732714447,0.3793915558037757
28,28,28,01-29,7.787873609266706,0.6091376124305673,-0.7240168496258703
29,29,29,01-30,7.357286633972349,0.13559339950933494,-0.6380644650002824
30,30,30,01-31,6.4064530947099065,-0.9100994472409414,-0.5207348033932323
31,31,31,02-01,6.552492655797672,-0.7494903415814099,-0.4548772654276528
32,32,32,02-02,6.207280499869995,-1.129142370205502,-0.5977971587844337
33,33,33,02-03,6.610894162474517,-0.6852624454779678,-0.6234392630806128
34,34,34,02-04,7.008143528179756,-0.2483817477101184,-0.5869524602608939
35,35,35,02-05,7.217390643340819,-0.01825922626773946,-0.5775368223350695
36,36,36,02-06,6.6055146602695824,-0.6911786303226277,-0.4670271943298192
37,37,37,02-07,6.603861684635812,-0.6929965140264638,-0.2862982653698629
38,38,38,02-08,6.810189438448028,-0.4660846021739997,-0.4085800243129118
39,39,39,02-09,7.596899533195837,0.3991111282817695,-0.2332439518893201
40,40,40,02-10,6.341009208550105,-0.9820723013684116,-0.3359804738468159
41,41,41,02-11,8.173974130476676,1.0337572082738105,-0.2327374384604312
42,42,42,02-12,6.0450135661599385,-1.3075977620676025,-0.017520587461688542
43,43,43,02-13,7.1671261712145045,-0.07353830170815548,-0.22372287155036785
44,44,44,02-14,7.984351052616106,0.8252165038184559,-0.20486390866936324
45,45,45,02-15,6.471918819059644,-0.8381025762503062,-0.5029684669817875
46,46,46,02-16,6.443898318743553,-0.8689185240823841,-0.4263666123353061
