,unnamed: 0,unnamed: 0,mth_day,world war ii,world war ii_norm,world war ii_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.7468251051255446,1.5794151076998193,
2,2,2,01-03,2.079494893024446,0.0048146841978274745,
3,3,3,01-04,1.7435211872600316,-0.787932788925769,
4,4,4,01-05,1.5225910515290944,-1.3092289613124368,-0.20238539865655927
5,5,5,01-06,1.9550514232708005,-0.2888161699473785,-0.3671656485955344
6,6,6,01-07,1.9026058374662704,-0.4125642636514181,-0.6090743588800916
7,7,7,01-08,2.3278127480834248,0.5907336080659682,-0.22384838629028
8,8,8,01-09,1.4643560100400437,-1.4466375775095162,0.05664556955263759
9,9,9,01-10,2.72309515215254,1.5234230466131014,0.1363833101845572
10,10,10,01-11,2.235846636572421,0.3737347737450687,0.10861610994879944
11,11,11,01-12,2.157812971816621,0.1896102738441392,-0.02672157594394753
12,12,12,01-13,1.8319978609426624,-0.5791674650659647,0.18432813973287007
13,13,13,01-14,1.9836685755654957,-0.22129250729051364,-0.07810787033589746
14,14,14,01-15,2.0010249303236507,-0.18033928344861053,-0.1982508541683284
15,15,15,01-16,2.0557583129842043,-0.0511930137995037,-0.3499828935943688
16,16,16,01-17,1.9303403950395688,-0.3471231292495168,-0.3846650503379044
17,17,17,01-18,1.771980328024306,-0.7207819627121037,-0.4166665329240353
18,18,18,01-19,1.7438061495585917,-0.7872604055271782,-0.4458042412980163
19,19,19,01-20,1.9022934310792912,-0.4133014028072994,-0.5427197337811622
20,20,20,01-21,1.926931949707896,-0.35516553369249626,-0.6965312342440512
21,21,21,01-22,1.8093162244796657,-0.6326859686983795,-0.5641876357132563
22,22,22,01-23,1.5392199824111843,-1.2699921320268508,-0.6292275948765378
23,23,23,01-24,2.108510969168261,0.07327962847266628,-0.847093813294836
24,24,24,01-25,1.5784189347617783,-1.1775001605068676,-0.9446733619499672
25,25,25,01-26,1.3482911296316813,-1.7204987133170881,-0.7894308137173357
26,26,26,01-27,1.678801262345576,-0.9406428256232836,-0.692808232661405
27,27,27,01-28,2.204075584732306,0.2987693206974097,-0.8001596146617903
28,28,28,01-29,1.7849172394958932,-0.6902566456912665,-0.7591849737370858
29,29,29,01-30,1.8355319221018256,-0.5708286635296463,-0.4427761848800397
30,30,30,01-31,1.6826115238564867,-0.9316523149586401,-0.3383555373870139
31,31,31,02-01,2.152872943635077,0.17795401982518874,-0.38162432681362457
32,32,32,02-02,1.9443278751897783,-0.31411894066512835,-0.2309416301980625
33,33,33,02-03,2.094049307610396,0.03915658413774573,-0.06350715873151462
34,34,34,02-04,2.1680815562009106,0.2138395340021059,0.17841312906859508
35,35,35,02-05,2.2612935808278074,0.4337781652696411,0.2272150920259231
36,36,36,02-06,2.2977798467894397,0.5198694118420183,0.5575117801954569
37,37,37,02-07,2.2769692812398885,0.4707657975691568,0.5207844250114677
38,38,38,02-08,2.7842246096854306,1.667661188352074,0.3613718058946083
39,39,39,02-09,2.00065695222032,-0.18120754696618885,0.3336780684013764
40,40,40,02-10,1.7627183084624811,-0.7426361806990506,0.21198702458920984
41,41,41,02-11,2.190872409439596,0.26761574031024965,0.5065956390248529
42,42,42,02-12,1.9883371124961275,-0.2102768510309813,0.4044684388225901
43,43,43,02-13,3.0261164028476584,2.238417484183016,0.2411608362499448
44,44,44,02-14,2.5245299017898515,1.0548979871384971,0.1775481060678278
45,45,45,02-15,1.5853893245634636,-1.1610531624020601,0.051068290241788064
46,46,46,02-16,1.6009603306625655,-1.1243125617917529,0.4054355427162683
47,47,47,02-17,1.8692525201194319,-0.491263154645989,-0.05127134154434384
48,48,48,02-18,2.8894418126823567,1.9159266638159005,-0.08612633911030577
49,49,49,02-19,1.8647768119544983,-0.5018238213806571,0.012373035979169722
