,unnamed: 0,unnamed: 0,mth_day,pixar,pixar_norm,pixar_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2940561227454923,-1.1729967098172709,
2,2,2,01-03,0.3573373561116752,-0.9002013816802711,
3,3,3,01-04,0.2013447741000651,-1.572660582191613,
4,4,4,01-05,0.33386869340284525,-1.0013710524347146,-1.2434214740266945
5,5,5,01-06,0.2756709212956411,-1.2522523879320593,-1.2310968937532902
6,6,6,01-07,0.20403887773168025,-1.5610467301042377,-1.04944754279272
7,7,7,01-08,0.3112099643251368,-1.0990492281768465,-0.8108780431480405
8,8,8,01-09,0.6101641559132899,0.1896947240831505,-0.7910472859386634
9,9,9,01-10,0.5333953033559029,-0.14124358432353598,-0.7050593144113374
10,10,10,01-11,0.3614699309320558,-0.8823865091784514,-0.6635878507733416
11,11,11,01-12,0.3953524040409618,-0.7363245587681033,-0.6958622148697512
12,12,12,01-13,0.2617605121842003,-1.312217948276262,-0.9464981085230488
13,13,13,01-14,0.2662892192358873,-1.2926954127553043,-1.1572552392436075
14,14,14,01-15,0.261319139001911,-1.3141206378366366,-1.2222484409666456
15,15,15,01-16,0.2400551366353747,-1.4057863686468879,-1.1255678763173214
16,16,16,01-17,0.2710098047956112,-1.2723457195166792,-0.9172911453507552
17,17,17,01-18,0.529916263664152,-0.1562411708721573,-0.8127283509048953
18,18,18,01-19,0.5516483597595488,-0.06255756247686488,-0.7921621438936252
19,19,19,01-20,0.4118238801541044,-0.6653186460801451,-0.5829278279263383
20,20,20,01-21,0.2899440048504305,-1.1907233957690158,-0.32661887884162905
21,21,21,01-22,0.5312757891450098,-0.15038047284316766,-0.406328061391068
22,22,22,01-23,0.6277508061530467,0.2655079749915768,-0.4422934051252984
23,23,23,01-24,0.4189738494347074,-0.6344962661687907,-0.4788099187969779
24,24,24,01-25,0.501590362238466,-0.2783496248822475,-0.39655403516266396
25,25,25,01-26,0.36099874236692536,-0.8844177281102218,-0.5512924910316367
26,26,26,01-27,0.4044310190574441,-0.6971880939631321,-0.7811033404954175
27,27,27,01-28,0.3159046447026178,-1.0788112080570036,-0.5698092014974737
28,28,28,01-29,0.3078909149815646,-1.1133571217911091,-0.6236533713352106
29,29,29,01-30,0.7130614456589488,0.6332685678188725,-0.4349375908449566
30,30,30,01-31,0.4266479026256893,-0.6014146439086686,-0.4199361784013591
31,31,31,02-01,0.6236608801676358,0.2478769548313022,-0.2634830013990673
32,32,32,02-02,0.4253105822409215,-0.6071796193015468,-0.28317014020866343
33,33,33,02-03,0.5336624062972141,-0.14009214604325312,-0.5649619034539975
34,34,34,02-04,0.2804895712599414,-1.2314799546486854,-0.557769262015432
35,35,35,02-05,0.32085244884708125,-1.0574820116531325,-0.7869012907628438
36,36,36,02-06,0.43665890738522606,-0.5582587952772753,-0.8029839025546716
37,37,37,02-07,0.3047457986993047,-1.1269152176531692,-0.8049371850362664
38,38,38,02-08,0.4029261627520673,-0.7036752900525128,-0.7106462976187555
39,39,39,02-09,0.5309437499611538,-0.15181184093282246,-0.5124453005222385
40,40,40,02-10,0.4117273829568204,-0.6657346301436201,-0.4547211528745239
41,41,41,02-11,0.5967164888142749,0.13172397092596974,-0.3848997318469853
42,42,42,02-12,0.5170016746116032,-0.21191390939098734,-0.32217014146894624
43,43,43,02-13,0.4019260327196593,-0.7079866914879378,-0.4622784345537933
44,44,44,02-14,0.4902357044833141,-0.3272977477842781,-0.4728375058685677
45,45,45,02-15,0.3359354486433159,-0.9924615994419046,-0.7625964848108966
46,46,46,02-16,0.3970308470469789,-0.7290890580322663,-0.8854457945931733
47,47,47,02-17,0.1934184039470493,-1.6068299027280042,-0.9633782540880088
48,48,48,02-18,0.346015113493462,-0.9490097680846478,-1.0254498523235802
49,49,49,02-19,0.2934565323853303,-1.175581448456951,-0.9615754480085279
50,50,50,02-20,0.40384198241668506,-0.6997273371977061,-0.9925766560784034
51,51,51,02-21,0.4248383879976908,-0.6092151735515905,-0.7179926114370141
52,52,52,02-22,0.3538821312115341,-0.9150963064515196,-0.3941114176449023
53,53,53,02-23,0.5755954110002447,0.040674365120332935,-0.07740371087993614
54,54,54,02-24,0.7968058557084493,0.9942773946680219,0.11377433861957885
55,55,55,02-25,0.7342629297133091,0.7246647921328464,0.2533010026254165
56,56,56,02-26,0.6699312042701058,0.4473409597993838,0.3148142686421333
57,57,57,02-27,0.6190371548033496,0.22794481048343546,0.15522030791551755
58,58,58,02-28,0.43949874426361024,-0.546016710351219,0.0945897493147813
59,59,59,02-29,0.35346618155458964,-0.9168893992393614,-0.0051536072390112216
60,60,60,03-01,0.7124178299866518,0.6304940430636045,-0.18252345365606226
61,61,61,03-02,0.5954361543595085,0.12620465281009136,-0.30317156979797577
62,62,62,03-03,0.4230607892986757,-0.6168781187029225,-0.2110454996171125
63,63,63,03-04,0.4511143026436704,-0.4959438863680456,-0.059804426267039225
64,64,64,03-05,0.5677234771291986,0.0067397107339606105,-0.2058564832151962
65,65,65,03-06,0.5639695297441485,-0.009442959138921807,-0.383106163690262
66,66,66,03-07,0.5091367614478436,-0.24581829862533744,-0.4285019143720705
67,67,67,03-08,0.3487329911310471,-0.9372934300403032,-0.375756552138371
68,68,68,03-09,0.3598771758765449,-0.889252622793774,-0.29342358828676063
69,69,69,03-10,0.5245273980794909,-0.17947171296584866,-0.2259798853913507
70,70,70,03-11,0.6823177746519191,0.5007374938436228,-0.2009547864827012
71,71,71,03-12,0.6578403609893352,0.3952192582335376,-0.08689245431140384
72,72,72,03-13,0.5439676905887141,-0.09566770517344034,-0.12781353650022495
73,73,73,03-14,0.5074894869196701,-0.2529194370125192,-0.193799037878618
74,74,74,03-15,0.30292158424074417,-1.1347791159267009,-0.2709103794008401
75,75,75,03-16,0.4326861497701292,-0.5753847212362064,-0.5883523327562122
76,76,76,03-17,0.574991139008147,0.03806944471028965,-0.4420176713078178
77,77,77,03-18,0.21601201001970605,-1.5094324618986952,-0.5272590775413866
78,78,78,03-19,0.7476420993240425,0.7823402635169266,-0.19164954925103106
79,79,79,03-20,0.3888471034778453,-0.7643678744139316,-0.027639386845921533
80,80,80,03-21,0.7700362894234688,0.8788780538154323,-0.1003815472553562
81,81,81,03-22,0.6609620245615992,0.4086762531944508,0.301262638674116
82,82,82,03-23,0.4737457036145178,-0.3983835177463185,0.28608324799010143
83,83,83,03-24,0.7750363811528314,0.9004326536781377,0.3194828561235516
84,84,84,03-25,0.7265148189385987,0.6912639194128393,0.19337620998550573
85,85,85,03-26,0.4353340080241827,-0.5639702256132307,0.2503230493161928
86,86,86,03-27,0.5945160378607891,0.1222381769871572,0.30096751987387216
87,87,87,03-28,0.7402229031205301,0.7503572891785734,0.3237148863522936
88,88,88,03-29,0.5442346943597947,-0.0945166944002422,0.2915776448919483
89,89,89,03-30,0.8066970715997913,1.0369168525486658,0.28259811680366465
90,90,90,03-31,0.6817849265943396,0.4984404706507683,0.2619153514631269
91,91,91,04-01,0.4228359432731433,-0.617847394142933,0.1576523481563674
92,92,92,04-02,0.5657289414883337,-0.0018584150560690261,-0.00313255825861272
