,unnamed: 0,unnamed: 0,mth_day,black and white,black and white_norm,black and white_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.430074468911518,0.1937956138888057,
2,2,2,01-03,6.701623632937415,-0.6416085908138487,
3,3,3,01-04,6.2777859885457135,-1.1276753680763336,
4,4,4,01-05,5.5181723359473125,-1.998817808981996,-1.4520026831682629
5,5,5,01-06,5.169980375878999,-2.3981323723262107,-1.6898810641456274
6,6,6,01-07,4.8722490019506655,-2.739577572699995,-1.965916172886993
7,7,7,01-08,6.185531734931837,-1.2334746719753806,-1.930924856645098
8,8,8,01-09,5.257450827086483,-2.2978192432620417,-1.5846241553579024
9,9,9,01-10,6.460855119091796,-0.9177274706249636,-1.2022593524396272
10,10,10,01-11,7.329963805976098,0.07898639874117945,-0.6751620752128117
11,11,11,01-12,7.170453622948867,-0.10394355481655963,-0.5517826694818401
12,12,12,01-13,7.629940069873007,0.4230060906608976,-0.14967278136850407
13,13,13,01-14,6.831033618265332,-0.4931982375895509,0.2021863402106732
14,14,14,01-15,7.3612272924242665,0.11484008541797434,0.14062867568067638
15,15,15,01-16,8.301727380566902,1.1934272588501,0.16119384401319306
16,16,16,01-17,7.00790366836798,-0.29035958843880144,0.04037949613763619
17,17,17,01-18,7.278047388788973,0.01944745517854036,0.1450777077458749
18,18,18,01-19,6.997858170747737,-0.3018799965924435,0.21152371742419016
19,19,19,01-20,7.378798396141888,0.1349910320598813,0.022295111459854005
20,20,20,01-21,7.708862492425731,0.5135161434878659,0.29304046299255454
21,21,21,01-22,7.3117127115313485,0.05805562306408313,0.28941788599896195
22,22,22,01-23,8.424401286286693,1.3341125207574018,0.39320782686606975
23,23,23,01-24,7.259094628739349,-0.0022880067830151713,0.0430592640996745
24,24,24,01-25,7.54087101720994,0.3208596486102032,-0.24039015758136809
25,25,25,01-26,5.546875512633563,-1.9659003445384904,-0.5131179286037028
26,26,26,01-27,6.2258991531155825,-1.1871803865983896,-0.764314429076722
27,27,27,01-28,5.884843382819136,-1.5783110030699246,-0.6992200005435979
28,28,28,01-29,7.110180220125293,-0.17306648208071454,-0.8051504021596928
29,29,29,01-30,7.599658566162348,0.3882785644157303,-0.6365176862296783
30,30,30,01-31,6.986659612637597,-0.3147227610863659,-0.4585370396077333
31,31,31,02-01,6.4291356846578935,-0.9541040489584038,-0.4288623241348699
32,32,32,02-02,7.157066246284192,-0.11929650686671972,-0.5425741570795067
33,33,33,02-03,6.040096884095408,-1.4002627102327447,-0.7370946067394817
34,34,34,02-04,6.5152575757164035,-0.8553374797485356,-0.6081163840970341
35,35,35,02-05,6.581957793018872,-0.7788441335441201,-0.1958305560814497
36,36,36,02-06,7.6614536362548415,0.45914657476832005,0.0010129143793719635
37,37,37,02-07,8.586151086694015,1.5196109191351022,0.3689356566532284
38,38,38,02-08,8.186920703367747,1.0617643158982102,0.4723838553409374
39,39,39,02-09,7.965011513501674,0.807273743410394,0.49696684691820864
40,40,40,02-10,7.056482480186918,-0.2346482876222815,0.41809188183993307
41,41,41,02-11,6.7105721858917065,-0.6313461840804927,-0.039619784004077986
42,42,42,02-12,7.2487920724853705,-0.014103215701333403,-0.257323324856985
43,43,43,02-13,6.191474758212934,-1.2266590759289642,-0.5814657647678169
44,44,44,02-14,7.047929598682552,-0.24445692921923198,-0.706302732208131
45,45,45,02-15,6.2691486246254575,-1.1375808960545972,-0.7946837010026254
46,46,46,02-16,6.403354860427791,-0.9836700922641658,-0.9328568650786638
47,47,47,02-17,6.248176687472119,-1.1616319968474595,-0.7855660812130781
48,48,48,02-18,6.5258915437560345,-0.8431422001575636,-0.6842423975614502
49,49,49,02-19,6.962077257224935,-0.3429143727354501,-0.695389223632053
50,50,50,02-20,7.5780393705356275,0.3634851726905355,-0.14105907742937923
51,51,51,02-21,6.210830162325076,-1.2044618524782147,0.22405041064637796
52,52,52,02-22,9.303524068104037,2.342310784951877,0.31847221882568144
53,53,53,02-23,8.158372807963465,1.0290249316070834,0.3274323620524802
54,54,54,02-24,7.0198917753700085,-0.2766113510817428,0.5685772295801795
55,55,55,02-25,7.0089553345958695,-0.2891535133746575,0.6062729447592398
56,56,56,02-26,8.839671854685786,1.8103543778567308,0.20839655546715363
57,57,57,02-27,6.408048287971941,-0.9782875614038536,-0.01693360068915491
58,58,58,02-28,7.221896610909197,-0.04494755080063928,0.0008185134659788965
59,59,59,02-29,6.979480436834012,-0.3229560053307679,0.0069572939131661475
60,60,60,03-01,7.11276807877251,-0.1700986661509399,-0.14029727030617875
61,61,61,03-02,7.041072480213113,-0.252320830691534,-0.14796748534506593
62,62,62,03-03,8.069258851236059,0.9268269925406614,-0.27979183031636673
63,63,63,03-04,6.367918914485004,-1.0243088516371768,-0.5242357539559105
64,64,64,03-05,6.532212117423115,-0.8358936206284441,-0.46986007127671586
65,65,65,03-06,5.700587803627357,-1.7896195471680303,-0.5525815444982421
66,66,66,03-07,7.397253203084903,0.15615542992422796,-0.580227054861533
67,67,67,03-08,6.608286583407542,-0.7486496700206917,-0.3929246776245243
68,68,68,03-09,7.924621835848487,0.7609539303609166,-0.28899668310849963
